time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T,H
0.0,1978.5,769.375,1436.125,1715.625,1819.75,2475.5,242.375,1326.375,1946.25,1557.875,36.96,43.7
0.1,1978.625,769.5,1436.125,1716.125,1819.75,2475.625,242.5,1326.75,1946.375,1558,36.99,43.71
0.2,1978.75,769.5,1436.125,1716.5,1819.75,2475.625,242.625,1327.25,1946.625,1558.25,36.97,43.74
0.3,1978.875,769.5,1436.125,1716.875,1819.875,2475.5,242.625,1327.625,1946.625,1558.5,36.97,43.74
0.4,1979,769.5,1436.125,1717.375,1819.875,2475.625,242.625,1328,1946.75,1558.625,36.96,43.72
0.5,1979.125,769.5,1436.125,1717.75,1819.75,2475.5,242.625,1328.375,1947,1558.875,37,43.72
0.6,1979.125,769.375,1436.125,1718.125,1819.75,2475.5,242.5,1328.625,1947,1559,36.97,43.71
0.7,1979.25,769.5,1436.125,1718.5,1819.75,2475.5,242.5,1329,1947.25,1559.25,37,43.74
0.8,1979.375,769.5,1436.125,1718.875,1819.75,2475.5,242.375,1329.375,1947.25,1559.375,36.99,43.71
0.9,1979.5,769.5,1436.125,1719.25,1819.75,2475.5,242.5,1329.75,1947.5,1559.625,36.99,43.67
1.0,1979.5,769.5,1436.125,1719.625,1819.625,2475.5,242.625,1330,1947.625,1559.625,36.97,43.73
1.1,1979.625,769.5,1436.125,1719.875,1819.75,2475.5,242.5,1330.25,1947.625,1559.75,36.99,43.71
1.2,1979.75,769.375,1436.125,1720.25,1819.625,2475.5,242.5,1330.5,1947.75,1559.875,36.97,43.71
1.3,1979.875,769.5,1436.125,1720.5,1819.625,2475.375,242.5,1330.875,1947.875,1560,36.99,43.74
1.4,1980,769.5,1436.25,1720.875,1819.625,2475.375,242.5,1331.125,1947.875,1560.125,36.97,43.74
1.5,1980.125,769.375,1436.125,1721.125,1819.625,2475.375,242.625,1331.375,1948,1560.25,36.99,43.71
1.6,1980.125,769.5,1436.25,1721.5,1819.5,2475.375,242.5,1331.625,1948.125,1560.25,36.99,43.7
1.7,1980.25,769.375,1436.125,1721.75,1819.5,2475.375,242.625,1331.875,1948.125,1560.375,36.97,43.71
1.8,1980.25,769.375,1436.125,1722,1819.375,2475.25,242.5,1332.125,1948.25,1560.5,37,43.73
1.9,1980.375,769.375,1436.125,1722.25,1819.375,2475.25,242.5,1332.375,1948.375,1560.625,36.97,43.73
2.0,1980.5,769.375,1436.125,1722.5,1819.375,2475.25,242.5,1332.625,1948.5,1560.625,36.99,43.73
2.1,1980.625,769.375,1436.25,1722.625,1819.375,2475.125,242.5,1332.875,1948.625,1560.75,36.99,43.73
2.2,1980.625,769.5,1436.125,1723,1819.375,2475.125,242.25,1333,1948.625,1560.75,36.99,43.67
2.3,1980.75,769.375,1436.25,1723.125,1819.25,2475,242.375,1333.25,1948.75,1560.875,36.99,43.73
2.4,1980.875,769.5,1436.125,1723.5,1819.125,2475,242.375,1333.5,1948.75,1560.875,36.97,43.73
2.5,1981,769.5,1436.125,1723.625,1819.125,2474.875,242.625,1333.625,1948.75,1560.875,36.97,43.71
2.6,1981,769.5,1436.125,1723.875,1819,2474.875,242.375,1333.75,1948.75,1560.875,37.02,43.7
